RowKey,English,Lang1,Lang2,Lang3,Lang4
LoginButton,Login,Nyiga wano okutandika,,,
HeathCareType5,Use of disinfectants,Okozesa edagala elita obuwuka obtalabika,,,
HeathCareType4,Deworming,Okuta enjoka,,,
HeathCareType3,Administration of vitamins,Okujiwa vitamini,,,
HeathCareType2,Preventative (such as vaccinations),Okuzeyiza endwaade katugeze nga okuzigema,,,
HeathCareType1,Curative (treatment of a disease),Okujanjaba endwaade ,,,
DropDownPurchaseFrom4,Transporter,Owe byentambula,,,
DropDownPurchaseFrom3,Another farmer,Omulimi omulala,,,
DropDownPurchaseFrom2,Agro-vet,Omusawo,,,
DropDownPurchaseFrom1,Feed supplier,Atunda emere ye bisolo,,,
DropDownUnitType2,Number,Namba,,,
DropDownUnitType1,Kg,Kilo,,,
DropDownFeedType19,Silage,Sayirajji,,,
DropDownFeedType18,Pre-Mixes,Ebilungo,,,
DropDownFeedType17,Vitamins,vitamini,,,
DropDownFeedType16,Minerals,Ekilungo kyomunyu,,,
HeathCareType6,Herd visit/monitoring,Okwekebejja ebisol,,,
HealthProviderType1,Private animal health worker or veterinarian,Omusawo we bisolo atali wagavumenti,,,
HealthProviderType2,Government animal health worker veterinarian,Omusawo we bisolo wagavumenti,,,
MedicineType1,Drugs,Amakerenda/edagala,,,
PurchasedWaterFromType3,Neighbour / friend,Mulirwana/ Mulilaanwa/Mukwano gwo,,,
PurchasedWaterFromType2,Water company,Ekitongole kyamazzi,,,
PurchasedWaterFromType1,Mobile water seller,Abatunda ebidomola by mazzi/abatembeyi ba amazzi,,,
WaterPurchasedUnitType2,Cubic meter,Ekipimo Kya mazzi,,,
WaterPurchasedUnitType1,Litre,Liita,,,
HousingExpenseType3,Repairs or maintenance,Okudabiliza,,,
HousingExpenseType2,Expansion of existing housing,Okugaziya  enyumba ye bisolo eliwo,,,
DropDownFeedType15,Compounded Feeds (Non-Labelled Feeds),Emere entabule nga teliko buwandike,,,
HousingExpenseType1,New house construction,Okuzimba enyumba empya,,,
LabourType1,Permanent hired labourer,Abakozi abenkalakalira,,,
PruchaseFromType3,Agro-vet store,Eduuka lyedagala lyebisolo,,,
PruchaseFromType2,Government animal health worker veterinarian,Omusawo  webisolo owagovumenti,,,
PruchaseFromType1,Private animal health worker or veterinarian,Omusawo webisoliatali wagavumenti,,,
MedicineType4,Vitamins,Vitamini,,,
MedicineType3,Dewormers,Edagala lye njoka,,,
MedicineType2,Vaccinations,Okugema ,,,
LabourType2,Temporary hired labourer,Abakozi abatali  bankalakalira,,,
MembershipType1,Co-operative or group fees,"Sente ze kibiina ekyo bwegasi, ",,,
DropDownFeedType14,Compounded Feeds (Labelled Feeds),"Emere entabule, eliko obuwandike",,,
DropDownFeedType12,Cotton Seed Cake,Ekikamulo kya pamba,,,
PickerPigTypeTranslation,Select a Pig Type,Londako ekyika kye mbizi,,,
PickerEquipmentTypeTranslation,Select an Equipment Type,Londako ekyika kyebikozesebwa,,,
PickerAnimalTypeTranslation,Select a Animal Type,Londako ekyika kye ebisolo,,,
PickerMembershipTypeTranslation,Select a Membership,Londako obwa memba bwolina,,,
PickerServiceTypeTranslation,Select a Service Type,Londako ekyika kyo obuwerezza,,,
PickerHousingExpenseTranslation,Select an Expense,Londako ensasaanya yo,,,
PickerLabourTypeTranslation,Select a Labour Type,Londako ekyika kya bakozi,,,
PickerMedicineTypeTranslation,Select a Medicine Type,Londako ekyika kye dagala,,,
PickerProviderTranslation,Select a Provider,Londako  akuwa obuwerezza obwo,,,
PickerHealthCareTypeTranslation,Select a Care Type,Londako ekyika  kyo kolabilila embiizi,,,
PickerPurchasedFromTranslation,Select a Provider,Londako akuwa  obuwerezza obwo,,,
PickerFeedTypeTranslation,Select a Feed Type,Londako ekyika kyemere yebisolo,,,
PickerUnitTranslation,Unit,Ekipimo,,,
RegistrationSuccessfulContinueTranslation,Continue,Genda Mumaaso,,,
RegistrationSuccessfulDescTranslation,You can now begin collecting and storing your data,Oliwandembe okutandika oku kungaanya no kutereka ebiwandiko byo,,,
PickerSoldToTranslation,Select a Buyer,Londa omuguzi,,,
PickerPaymentTypeTranslation,Select a Payment Type,Londa  ensasula joyagala,,,
PickerClientTranslation,Select a Client,Londa kasitoma wo,,,
PickerGenderTranslation,Select a Gender,Londako ekikulakyo,,,
DropDownFeedType11,Sunflower Cake,Kikamulo kya e'ntungo enene,,,
DropDownFeedType10,Soybean Meal,Soyaa ensekule ,,,
DropDownFeedType9,Soybean Seed Cake,Kikamulo kya soyaa,,,
DropDownFeedType8,Ground Maize,Kasooli omukube,,,
DropDownFeedType7,Dried Brewers’ Grain,Ebikanjja ebikalu,,,
DropDownFeedType6,Wheat Gluten Feed,Ekimere kye' ngano,,,
DropDownFeedType5,Maize Gluten Feed,Ekimere kya kasooli,,,
DropDownFeedType13,Groundnut Cake,Ekikamulo kye e'binwyobwa,,,
DropDownFeedType4,Rice Bran,Kyakyu  w'omukyere,,,
DropDownFeedType2,Wheat Bran,Kyakyu w'engano,,,
DropDownFeedType1,Maize Bran,Kyakyu wa kasoli,,,
PickerCurrencyTranslation,Select a Currency,Londako ekyika kyasente,,,
PickerCountryTranslation,Select a Country,Londa ensi jova,,,
PickerSubCountyTranslation,Select a Sub County,Londa Egombolola jova,,,
PickerCountyTranslation,Select a County,Londa Esaaza jova ,,,
PickerDistrictTranslation,Select a District,Londa Distulikiti jova ,,,
DropDownFeedType3,Maize Germ,Obuweeke bya kasooli,,,
TimePeriodUnitType1,Months,Emyeezi,,,
TimePeriodUnitType2,Years,Emyaaka,,,
ServiceType1,Artificial insemination,Okuwakisa ebisolo,,,
CountryTypeRwanda,Rwanda,Rwanda,,,
CountryTypeVietnam,Vietnam,Ventinamu,,,
CountryTypeUganda,Uganda,Uganda,,,
LoanProviderType5,Club,Kibiina,,,
LoanProviderType4,Self-help group or savings,Ekibiina kyokukyaalo,,,
LoanProviderType3,Co-operative or group,Ekibina kyobwegasi,,,
LoanProviderType2,Bank,Banka,,,
LoanProviderType1,Micro-credit provider,Awola sente /Omuwozi wa sente,,,
AnimalPurchasedFromType4,Pig breeding company,Ekitongole ekiwakisa embizi,,,
AnimalPurchasedFromType3,Pig farmer,Omulunzi wembizi,,,
LoanProviderType6,Relatives or friends,Abo luganda lwange / Mikwano gwange,,,
AnimalPurchasedFromType2,Trader,Omusubuuzi,,,
AnimalType3,Young male / boar for breeding,Enume  ento nga yakulinyira enkazi,,,
AnimalType2,Gilt/Sow for breeding,Ebizzi endusi,,,
AnimalType1,Piglet(s) for fattening,Embizi endaawe/ezirindwa ngazakusala,,,
WhoProvidedServiceType3,Boar keeper,Omulunzi wa nume,,,
WhoProvidedServiceType2,Government artificial insemination service provider,Omusawo wagavument ajikuba amazzi ge nume/omusawo wagavument awakisa embiizi,,,
WhoProvidedServiceType1,Private artificial insemination service provider,Omusawo atali wagavument ajikuba amazzi ge nume/ Omusawo atali wagavument awakisa embiizi,,,
ServiceType2,Natural mating,Embiizi enume okuwakisa enkazi,,,
AnimalPurchasedFromType1,Market,Obutale ,,,
RegistrationSuccessfulTitleTranslation,Your Account Has Been Created,Accounta yo eggudwawo,,,
EquipmentType1,Feeding equipment,Ebikozesebwa muku ziwa emere,,,
EquipmentType3,Cleaning equipment,Ebikosesebwa mu kuyonja,,,
GenderType3,Other,Ebilala,,,
GenderType2,Female,Omukazi,,,
GenderType1,Male,Omusajja,,,
VolumeUnitType1,Kg,Kilo,,,
ClientType1,Pig farmer,Omolunzi wembizi,,,
PaymentType1,Piglet,Obubizi obuto,,,
EquipmentType2,Watering equipment,Ebifukirila amazzi,,,
BreedingServiceType1,Boar services,Obuwereza obwekusa ku nume ewakisa,,,
SoldToType2,Trader,Omusubuzi,,,
SoldToType3,Slaughter-house,Lufula,,,
SoldToType1,Other farmer,Mulunzi wambizi,,,
PigType4,Young male/boar for breeding,Enume yembizi ento/Enume eyo kuwakisa,,,
PigType3,Gilt/Sow for breeding,Ebizi endusi,,,
PigType2,Slaughter animal,Ebisolo ebyokusala,,,
PigType1,Piglet (for fattening),Embizi endawo/Ezilundibwa ngazakusala,,,
EquipmentType4,Animal tags,Obulamba ebisolo  kumatu,,,
GoogleSignUpTranslation,Sign up with Google,Wewandisizze kumutimbagano,,,
WebAuthDescTranslation,The Pig Economic Tool authenticates with Google to securely authenticate your account and keep your data safe.,,,,
WebAuthTitleTranslation,Sign Up,Wewandise kumukutu guno,,,
CostTrans,Cost,Sente zewasasula,,,
OtherAmountPurchaseTrans,Other Amount Purchased,Obunji bwe wagula obulala,,,
UnitTrans,Unit,Ekipimo,,,
AmountPurchasedTrans,Amount Purchased,Obunji bwe wagula,,,
OtherFeedTypeTrans,Other Feed Type,Ebika bye mere'bilala,,,
FeedTypeTrans,Feed Type,Ebika bye mere ,,,
